사업장번호,사업장명
1602250119,롯데하이마트(주) 안양점
1602250117,롯데하이마트(주) 신도시고잔점
1602250114,롯데하이마트(주) 선부점
1602250113,롯데하이마트(주) 봉담점
1602250111,롯데하이마트(주) 안중점
1602250109,롯데하이마트(주) 안성점
1602250105,롯데하이마트(주) 영통점
1602250096,롯데하이마트(주) 수지점
1602250093,롯데하이마트(주) 연수점
1602250092,롯데하이마트(주) 주안점
1602250089,롯데하이마트(주) 일도점
1602250087,롯데하이마트(주) 제주점
1602260132,벽산블루밍6단지
1602250086,롯데하이마트(주) 신제주점
1602230050,래미안장안2차아파트
1602250079,롯데하이마트(주) 창동점
1602250076,롯데하이마트(주) 사당점
1602250029,롯데하이마트(주) 봉천점
1602260121,(주)아즈텍WB
1602250027,롯데하이마트(주) 개봉점
1602260114,삼성웰스토리 김해사무소
1602250025,롯데하이마트(주) 상봉점
1602250023,롯데하이마트(주) 구리점
1602230098,롯데하이마트(주) 대치점
1602260057,뷰티플타워
1602240056,롯데하이마트(주) 정자점
1602260106,삼박엘에프티
1602260049,(주)에스디인터내셔날 중대동점
1602260136,신내벽산아파트
1602260090,천일
1602260135,(주)대광교역
1602260119,삼성웰스토리 왜관사무소
1602260125,삼성웰스토리 평택사무소
1602260100,성화산업주식회사
1602260130,삼성웰스토리 용인사무소
1602260141,신천휴먼시아5단지
1602260091,가산R&D캠퍼스
1602260010,용흥산업주식회사
1602260133,(주)동강금속
1602260139,대성산업가스_여천공장
1602260152,롯데하이마트(주) 오광장점
1602260154,롯데하이마트(주) 평리점
1602260149,성동마을LG빌리지3
1602260140,(주)한샘이펙스
1602260155,유한회사 에브라임이노베이션
1602260131,대성산업가스_반월공장
1602260137,대성산업가스_대전공장
1602260143,대성산업가스_구미공장
1602260144,대성산업가스_파주공장
1602260145,대성산업가스_울산공장
1602260163,(사)부산어패류처리조합
1602260147,대성산업가스_공주공장
1602250165,롯데캐슬클래식
1602250171,동두천부영1차
1602250181,대방1차e-편한세상
1602250184,장안현대홈타운
1602250187,갤러리아팰리스
1602260002,시지2차사월보성타운
1602260006,공작한양
1602260007,잠실리센츠
1602260012,이천현대홈타운
1602260035,아진(본사)
1602260058,율하중앙하이츠
1602260168,한미사이언스주식회사
1602260060,현진에버빌엠파이어
1602260061,묵동아이파크
1602260062,한양수자인리버팰리스
1602260067,백현마을5단지주공
1602260078,국일방적(정읍공장)
1602260081,국일방적(태인공장)
1602260083,동원홈푸드
1602260086,벽진바이오텍
1602260088,아진산업(아진1공장)
1602260097,아진카인텍건천
1602260098,아진카인텍모화
1602260102,삼성스마트쉐르빌
1602260115,(주)우신산업
1602260120,트렉스타
1602260122,에스엔와이
1602260123,대동에스엠
1602260126,금오ADS(주)
1602260128,풍정주공
1602260129,성지산업(주)
1602260134,이노알앤씨
1602260138,U대회선수촌2단지
1602260142,서초교대e편한세상
1602260146,용강삼성래미안
1602260148,죽현마을현대아이파크1차
1602260150,신촌휴먼시아1단지
1602260151,풍동숲속마을2단지
1602260153,문정푸르지오
1602260156,청담유로카운티
1602260157,망포역마을쌍용1차
1602260159,꽃뫼버들마을 코오롱
1602260161,오포대성
1602260162,쥬네브스타월드
1602260164,신창에프에이
1602260165,삼익테크
1602260166,삼코
1602260167,범서
1602260170,구띠
1602260171,울타리
1602260173,영진울산공장
