사업번호,사전계측용량(kW)
201602240060-1,12.936
201602240060-2,12.936
201602240061-1,12.936
201602240061-2,12.936
201602240062-1,21.756
201602240062-2,17.64
201602240064-1,17.64
201602240064-2,17.64
201602240070-1,17.64
201602240070-2,12.936
201602240078-1,64.68
201602240078-2,17.64
201602240078-3,17.64
201602240082 ,12.936
201602240083-1,17.64
201602240083-2,17.64
201602240093 ,64.68
201602240097 ,17.64
201602250005-1,32.34
201602250005-2,44.1
201602250010 ,129.36
201602250020 ,116.55
201602250021 ,70.56
201602250027 ,56.7
201602250031-1,17.64
201602250031-2,17.64
201602250037 ,52.92
201602250045-1,3.234
201602250045-2,4.41
201602250045-3,4.41
201602250045-4,3.234
201602250059 ,12.936
201602250064-1,77.616
201602250064-2,77.616
201602260077 ,47.25
201602260101 ,47.25
201602260106 ,32.34
201602260125 ,17.64
201602260126 ,55.86
201602260128-1,12.936
201602260128-2,12.936
201602260128-3,12.936
201602260145-1,10.878
201602260145-2,10.878
201602260145-3,17.64
201602260187 ,44.1
201602260248 ,94.08
201602260260 ,32.34
