구분,사업장번호,신청 사업자명,사업장명,기업유형(사업장),품목,선정상태,지역,사업장주소,설치업체,업체설치여부,설치비용,건물용도,계측기설치장소,계측설비형태,계측설비용량(W),계측설비대수,계측용량(kW),계량기시리얼넘버,모뎀시리얼넘버,타입
219,201602260218 ,롯데하이마트(주),롯데하이마트(주) 홍천점,대기업,LED,선정,강원,강원도 홍천군 홍천읍 홍천로 318 롯데하이마트(주) 홍천점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,66,2.112 ,00-250130321,01224230564,"G-type(단상2선식, 단독)"
287,201602260325 ,이지스엔터프라이즈,문정푸르지오,공동주택,LED,선정,서울,"서울특별시 송파구 송이로32길 37 (문정동, 문정푸르지오아파트) ",누리텔레콤,계량기+모뎀,30,공동주택,지하 2층 주차장,LED,15.5W,32,0.496 ,00-250130323,01220800701,"G-type(단상2선식, 단독)"
,201602260064-2,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,-,-,공동주택,지하주차장,LED,14.6W,67,0.978,00-250130324,01224230442,"G-type(단상2선식, 단독)"
131,201602260064-1,금호이앤지(주),반포자이아파트,공동주택,LED,선정,서울,"서울특별시 서초구 신반포로 270 (반포동, 반포자이아파트) ",누리텔레콤,계량기+모뎀,30,공동주택,지하주차장,LED,14.6W,68,0.992,00-250130325,01224230523,"G-type(단상2선식, 단독)"
262,201602260290-1,이지스엔터프라이즈,장안현대홈타운,공동주택,LED,선정,서울,"서울특별시 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) ",누리텔레콤,계량기+모뎀,30,공동주택,지하 1층 주차장,LED,18W,119,2.142 ,00-250130326,01224230516,"G-type(단상2선식, 단독)"
246,201602260251 ,롯데하이마트(주),롯데하이마트(주) 상봉점,대기업,LED,선정,서울,서울특별시 중랑구 망우로 399 (망우동) 롯데하이마트(주) 상봉점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,36,1.152 ,00-250130327,01224230443,"G-type(단상2선식, 단독)"
282,201602260320 ,이지스엔터프라이즈,서초교대e편한세상,공동주택,LED,선정,서울,"서울특별시 서초구 서초중앙로24길 33 (서초동, 서초교대e편한세상아파트) ",누리텔레콤,계량기+모뎀,30,공동주택,지하 1층 주차장,LED,14.7W,71,1.044 ,00-250130331,01224230458,"G-type(단상2선식, 단독)"
76,201602250050 ,참포도나무병원,참포도나무병원,비영리법인,LED,선정,서울,서울특별시 서초구 바우뫼로35길 32 (양재동) ,누리텔레콤,계량기+모뎀,30,기타,본관 3층,LED,"15W, 45W","34, 16",1.230 ,00-250130335,01224230546,"G-type(단상2선식, 단독)"
283,201602260321 ,이지스엔터프라이즈,용강삼성래미안,공동주택,LED,선정,서울,서울특별시 마포구 큰우물로 26 (용강동) ,누리텔레콤,계량기+모뎀,30,공동주택,지하 1층 주차장,LED,14.8W,44,0.651 ,00-250130338,01224230459,"G-type(단상2선식, 단독)"
244,201602260249 ,롯데하이마트(주),롯데하이마트(주) 개봉점,대기업,LED,선정,서울,서울특별시 구로구 경인로 334 (개봉동) 롯데하이마트(주) 개봉점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,84,2.688 ,00-250130339,01224230510,"G-type(단상2선식, 단독)"
241,201602260245 ,롯데하이마트(주),롯데하이마트(주) 창동점,대기업,LED,선정,서울,서울특별시 도봉구 노해로 397 (창동) 롯데하이마트(주) 창동점,누리텔레콤,계량기+모뎀,30,일반건물,2층 EPS실,형광등,32W,36,1.150 ,00-250130340,01224230504,"G-type(단상2선식, 단독)"
19,201602230018 ,묵동자이아파트입주자대표회의,묵동자이아파트입주자대표회의,공동주택,LED,선정,서울,"서울특별시 중랑구 동일로 932 (묵동, 묵동자이아파트) ",누리텔레콤,계량기+모뎀,30,공동주택,지하 1층 주차장,LED,21W,71,1.491 ,00-250130341,01224230526,"G-type(단상2선식, 단독)"
156,201602260122 ,롯데쇼핑(주),노원점,대기업,LED,선정,서울,"서울특별시 노원구 동일로 1414 (상계동, 롯데백화점) ",누리텔레콤,계량기+모뎀,30,일반건물,8층 EPS실,메탈할라이드,43W,127,5.461 ,00-250130342,01224230473,"G-type(단상2선식, 단독)"
248,201602260253 ,롯데하이마트(주),롯데하이마트(주) 대치점,대기업,LED,선정,서울,서울특별시 강남구 삼성로 156 (대치동) 1층,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,78,2.496 ,00-250130343,01224230512,"G-type(단상2선식, 단독)"
243,201602260247 ,롯데하이마트(주),롯데하이마트(주) 봉천점,대기업,LED,선정,서울,서울특별시 관악구 남부순환로 1780 (봉천동) 롯데하이마트(주) 봉천점,누리텔레콤,계량기+모뎀,30,일반건물,2층 매장,형광등,32W,96,3.072 ,00-250130344,01224230469,"G-type(단상2선식, 단독)"
242,201602260246 ,롯데하이마트(주),롯데하이마트(주) 사당점,대기업,LED,선정,서울,서울특별시 동작구 동작대로 77 (사당동) 롯데하이마트(주) 사당점,누리텔레콤,계량기+모뎀,30,일반건물,4층 매장,형광등,32W,88,2.816 ,00-250130345,01224230486,"G-type(단상2선식, 단독)"
,201602260142-5,서진캠,서진캠,중견,LED,선정,충남,충청남도 아산시 둔포면 아산밸리중앙로 103 ,누리텔레콤,-,-,공장,A동공장,LED,130W,8,1.040 ,00-250130355,01224230483,"G-type(단상2선식, 단독)"
,201602260142-4,서진캠,서진캠,중견,LED,선정,충남,충청남도 아산시 둔포면 아산밸리중앙로 103 ,누리텔레콤,-,-,공장,A동공장,LED,130W,8,1.040 ,00-250130356,01224272955,"G-type(단상2선식, 단독)"
,201602260142-3,서진캠,서진캠,중견,LED,선정,충남,충청남도 아산시 둔포면 아산밸리중앙로 103 ,누리텔레콤,-,-,공장,A동공장,LED,130W,8,1.040 ,00-250130357,01224230570,"G-type(단상2선식, 단독)"
,201602260142-2,서진캠,서진캠,중견,LED,선정,충남,충청남도 아산시 둔포면 아산밸리중앙로 103 ,누리텔레콤,-,-,공장,B동공장,LED,130W,6,0.780 ,00-250130358,01224273091,"G-type(단상2선식, 단독)"
162,201602260142-1,서진캠,서진캠,중견,LED,선정,충남,충청남도 아산시 둔포면 아산밸리중앙로 103 ,누리텔레콤,모뎀,20,공장,B동공장,LED,130W,6,0.780 ,00-250130359,01224273039,"G-type(단상2선식, 단독)"
